Time, Date, Ch1, Ch2, NAE
3558093600,2016/9/30 15:20:0,358,480,0
3558093601,2016/9/30 15:20:1,404,517,0
3558093602,2016/9/30 15:20:2,328,503,0
3558093603,2016/9/30 15:20:3,355,427,0
3558093604,2016/9/30 15:20:4,421,517,0
3558093605,2016/9/30 15:20:5,408,485,0
3558093606,2016/9/30 15:20:6,313,361,0
3558093607,2016/9/30 15:20:7,321,408,0
3558093608,2016/9/30 15:20:8,313,469,0
3558093609,2016/9/30 15:20:9,294,420,0
3558093610,2016/9/30 15:20:10,335,480,0
3558093611,2016/9/30 15:20:11,328,556,0
3558093612,2016/9/30 15:20:12,401,473,0
3558093613,2016/9/30 15:20:13,419,494,0
3558093614,2016/9/30 15:20:14,401,462,0
3558093615,2016/9/30 15:20:15,318,405,0
3558093616,2016/9/30 15:20:16,316,408,0
3558093617,2016/9/30 15:20:17,329,567,0
3558093618,2016/9/30 15:20:18,335,579,0
3558093619,2016/9/30 15:20:19,391,453,0
3558093620,2016/9/30 15:20:20,339,537,0
3558093621,2016/9/30 15:20:21,329,445,0
3558093622,2016/9/30 15:20:22,305,405,0
3558093623,2016/9/30 15:20:23,355,456,0
3558093624,2016/9/30 15:20:24,399,477,0
3558093625,2016/9/30 15:20:25,410,341,0
3558093626,2016/9/30 15:20:26,362,476,0
3558093627,2016/9/30 15:20:27,357,421,0
3558093628,2016/9/30 15:20:28,297,444,0
3558093629,2016/9/30 15:20:29,324,539,0
3558093630,2016/9/30 15:20:30,334,560,0
3558093631,2016/9/30 15:20:31,372,492,0
3558093632,2016/9/30 15:20:32,312,401,0
3558093633,2016/9/30 15:20:33,411,364,0
3558093634,2016/9/30 15:20:34,412,552,0
3558093635,2016/9/30 15:20:35,390,443,0
3558093636,2016/9/30 15:20:36,392,451,0
3558093637,2016/9/30 15:20:37,331,486,0
3558093638,2016/9/30 15:20:38,324,442,0
3558093639,2016/9/30 15:20:39,362,488,0
3558093640,2016/9/30 15:20:40,332,489,0
3558093641,2016/9/30 15:20:41,393,453,0
