Time, Date, Ch1, Ch2, NAE
3557719857,2016/9/26 7:30:57,246,21,0
3557719863,2016/9/26 7:31:3,16,208,0
3557719865,2016/9/26 7:31:5,20,41,0
3557719869,2016/9/26 7:31:9,16,66,0
3557719871,2016/9/26 7:31:11,17,54,0
3557719901,2016/9/26 7:31:41,21,48,0
3557719902,2016/9/26 7:31:42,24,63,0
3557719903,2016/9/26 7:31:43,25,71,0
3557719904,2016/9/26 7:31:44,24,50,0
3557719905,2016/9/26 7:31:45,25,61,0
3557719907,2016/9/26 7:31:47,24,50,0
3557719908,2016/9/26 7:31:48,24,53,0
3557719909,2016/9/26 7:31:49,23,58,0
3557719910,2016/9/26 7:31:50,25,60,0
3557719911,2016/9/26 7:31:51,25,51,0
3557720574,2016/9/26 7:42:54,23,92,0
3557720725,2016/9/26 7:45:25,21,43,0
3557723325,2016/9/26 8:28:45,41,15,0
3557723570,2016/9/26 8:32:50,17,55,0
3557723646,2016/9/26 8:34:6,16,101,0
3557723743,2016/9/26 8:35:43,24,57,0
3557724739,2016/9/26 8:52:19,17,80,0
3557724740,2016/9/26 8:52:20,21,45,0
3557724746,2016/9/26 8:52:26,22,46,0
