Index,HU
0,2016/9/8,80.77939
1,2016/9/9,85.0334
2,2016/9/10,76.54129
3,2016/9/11,84.35031
4,2016/9/12,82.50659
5,2016/9/13,84.67717
6,2016/9/14,84.81707
7,2016/9/15,79.0455
8,2016/9/16,85.38456
9,2016/9/17,0
10,2016/9/18,0
11,2016/9/19,79.16444
12,2016/9/20,76.96491
13,2016/9/21,78.49003
14,2016/9/22,80.84045
15,2016/9/23,74.58504
16,2016/9/24,75.97288
17,2016/9/25,77.96743
18,2016/9/26,77.72476
19,2016/9/27,91.06516
20,2016/9/28,78.30699
21,2016/9/29,0
22,2016/9/30,69.78893
