Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,7.388889,7.6,0,0
1,0,0,0,0,0,0,0,0,8.222222,9,0,0
2,0,0,0,0,0,0,0,0,6.611111,8.4,0,0
3,0,0,0,0,0,0,0,0,5.388889,6.4,0,0
4,0,0,0,0,0,0,0,0,4.944444,6.2,0,0
5,0,0,0,0,0,0,0,0,4.777778,8.6,0,0
6,0,0,0,0,0,0,0,0,4.666667,8,0,0
7,0,0,0,0,0,0,0,0,11.11111,17.8,0,0
8,0,0,0,0,0,0,0,0,5.5,18.6,0,0
9,0,0,0,0,0,0,0,0,13.22222,26.2,0,0
10,0,0,0,0,0,0,0,0,12.11111,38.4,0,0
11,0,0,0,0,0,0,0,0,13.55556,36,0,0
12,0,0,0,0,0,0,0,0,13.05556,28,0,0
13,0,0,0,0,0,0,0,0,10.27778,20.4,0,0
14,0,0,0,0,0,0,0,0,6.333333,18.2,0,0
15,0,0,0,0,0,0,0,0,8,18.75,0,0
16,0,0,0,0,0,0,0,0,37.33333,21.5,0,0
17,0,0,0,0,0,0,0,0,12.22222,16.25,0,0
18,0,0,0,0,0,0,0,0,6.555556,17.5,0,0
19,0,0,0,0,0,0,0,0,6.277778,14.75,0,0
20,0,0,0,0,0,0,0,0,6.166667,9.25,0,0
21,0,0,0,0,0,0,0,0,14.05263,15.25,0,0
22,0,0,0,0,0,0,0,0,11.63158,13,0,0
23,0,0,0,0,0,0,0,0,8.894737,12.75,0,0
