Clock,2016/10/2,2016/10/3,2016/10/4,2016/10/5,2016/10/6,2016/10/7,2016/10/8,All,Average
0,1,0,30,7,,,,38,12.66667
1,1,0,31,12,,,,44,14.66667
2,0,4,32,6,,,,42,14
3,0,0,24,8,,,,32,16
4,1,0,20,9,,,,30,10
5,1,2,28,9,,,,40,10
6,1,0,32,5,,,,38,12.66667
7,0,30,43,16,,,,89,29.66667
8,3,31,46,11,,,,91,22.75
9,8,65,43,14,,,,130,32.5
10,30,97,59,5,,,,191,47.75
11,21,80,71,,,,,172,57.33333
12,23,67,49,,,,,139,46.33333
13,10,54,38,,,,,102,34
14,11,44,33,,,,,88,29.33333
15,2,54,18,,,,,74,24.66667
16,2,58,24,,,,,84,28
17,1,44,20,,,,,65,21.66667
18,1,51,17,,,,,69,23
19,1,45,11,,,,,57,19
20,0,26,11,,,,,37,18.5
21,3,44,11,,,,,58,19.33333
22,0,31,13,,,,,44,22
23,0,38,10,,,,,48,24
All,121,865,714,102,0,0,0
Average,6.722222,45.52632,29.75,9.272727,0,0,0
