Index,LX
0,2016/9/8,209.6669
1,2016/9/9,236.4059
2,2016/9/10,393.3035
3,2016/9/11,320.9862
4,2016/9/12,338.3114
5,2016/9/13,365.5982
6,2016/9/14,1.006944
7,2016/9/15,530.0258
