Clock,2016/9/4,2016/9/5,2016/9/6,2016/9/7,2016/9/8,2016/9/9,2016/9/10,All,Average
0,0,0,0,0,0,89.36833,92.69923,182.0676,91.03378
1,0,0,0,0,0,89.83231,93.08538,182.9177,91.45885
2,0,0,0,0,0,90.26077,93.42692,183.6877,91.84385
3,0,0,0,0,0,90.59833,93.71667,184.315,92.1575
4,0,0,0,0,0,90.91923,94.00385,184.9231,92.46154
5,0,0,0,0,0,91.22462,94.26077,185.4854,92.74269
6,0,0,0,0,0,91.4525,94.5175,185.97,92.985
7,0,0,0,0,0,91.58692,94.73462,186.3215,93.16077
8,0,0,0,0,0,90.19692,94.54154,184.7385,92.36923
9,0,0,0,0,0,88.86308,92.96231,181.8254,90.91269
10,0,0,0,0,0,84.17154,89.28923,173.4608,86.73038
11,0,0,0,0,0,84.0175,87.23154,171.249,85.62452
12,0,0,0,0,0,84.19,85.23308,169.4231,84.71154
13,0,0,0,0,78.295,82.04769,81.49615,241.8388,80.61295
14,0,0,0,0,78.54091,82.35538,79.35462,240.2509,80.08364
15,0,0,0,0,77.99692,85.98231,79.07,243.0492,81.01641
16,0,0,0,0,78.60917,88.04615,80.75154,247.4069,82.46895
17,0,0,0,0,80.01462,89.31833,82.96167,252.2946,84.09821
18,0,0,0,0,81.32154,90.03,84.71077,256.0623,85.3541
19,0,0,0,0,84.26308,89.94077,86.56846,260.7723,86.9241
20,0,0,0,0,86.06083,90.66833,88.44923,265.1784,88.3928
21,0,0,0,0,87.09615,91.59615,89.7775,268.4698,89.48994
22,0,0,0,0,88.3,92.07,90.71462,271.0846,90.36154
23,0,0,0,0,88.95538,92.41667,91.53,272.9021,90.96735
All,0,0,0,0,909.4536,2131.154,2135.087
Average,0,0,0,0,82.6776,88.79808,88.96197
