Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,All,Average
0,27.70462,27.30583,27.31786,0,28.88462,28.65077,0,139.8637,27.97274
1,27.35083,27.11846,27.30154,0,28.82615,28.53769,0,139.1347,27.82694
2,27.42154,26.87692,27.16083,0,28.49923,28.32538,0,138.2839,27.65678
3,27.45462,26.69083,26.95538,0,27.87556,27.3525,0,136.3289,27.26578
4,27.18308,26.53692,27.00154,0,28.05154,26.86385,0,135.6369,27.12738
5,27.1775,26.42,27.00583,0,28.17692,27.06154,0,135.8418,27.16836
6,27.24846,0,27.18385,0,28.24692,27.38769,0,110.0669,27.51673
7,27.43769,0,29.71231,0,29.74833,29.76583,0,116.6642,29.16604
8,26.84667,0,34.69231,0,33.90923,35.15846,,130.6067,32.65167
9,26.88923,32.977,34.05,0,34.93,35.32462,,164.1708,32.83417
10,28.2925,33.47385,32.90538,0,36.07615,34.61875,,165.3666,33.07333
11,31.64,32.34867,33.83385,0,34.60538,0,,132.4279,33.10697
12,34.93538,29.9925,32.67385,0,35.23538,0,,132.8371,33.20928
13,35.92308,30.40154,31.55917,0,36.04846,0,,133.9322,33.48306
14,35.75,30.51692,30.32231,0,35.43077,0,,132.02,33.005
15,33.90917,33.83231,28.36692,0,34.50308,0,,130.6115,32.65287
16,32.31846,34.38,26.57385,0,33.11231,0,,126.3846,31.59615
17,31.92615,33.59615,26.64083,0,31.49846,0,,123.6616,30.9154
18,31.38154,31.52077,26.87167,0,30.55769,0,,120.3317,30.08292
19,29.22846,29.01667,0,0,29.54333,0,,87.78846,29.26282
20,28.20583,28.11462,0,0,29.16846,0,,85.48891,28.4963
21,27.73308,27.69769,0,28.01538,28.93923,0,,112.3854,28.09635
22,27.49077,27.42923,0,28.51538,28.83769,0,,112.2731,28.06827
23,27.29923,27.26333,0,28.9675,28.68833,0,,112.2184,28.0546
All,708.7479,623.5102,558.1293,85.49827,749.3932,329.0471,0
Average,29.53116,29.69096,29.37522,28.49942,31.22472,29.91337,0
