Clock,2016/9/4,2016/9/5,2016/9/6,2016/9/7,2016/9/8,2016/9/9,2016/9/10,All,Average
0,0,0,0,0,0,2.723942,1.836203,4.560145,2.280073
1,0,0,0,0,0,2.603819,1.733667,4.337486,2.168743
2,0,0,0,0,0,2.50101,1.648246,4.149256,2.074628
3,0,0,0,0,0,2.419273,1.57869,3.997963,1.998982
4,0,0,0,0,0,2.330926,1.511111,3.842038,1.921019
5,0,0,0,0,0,2.25062,1.443463,3.694083,1.847041
6,0,0,0,0,0,2.199983,1.383548,3.583531,1.791765
7,0,0,0,0,0,2.266021,1.344555,3.610576,1.805288
8,0,0,0,0,0,2.939961,1.465118,4.405079,2.202539
9,0,0,0,0,0,3.435181,2.049663,5.484844,2.742422
10,0,0,0,0,0,5.803903,3.483657,9.28756,4.64378
11,0,0,0,0,0,5.218824,4.197408,9.416232,4.708116
12,0,0,0,0,0,5.423363,5.293784,10.71715,5.358573
13,0,0,0,0,6.954522,6.551561,7.543994,21.05008,7.016692
14,0,0,0,0,7.117873,5.365272,8.363579,20.84672,6.948908
15,0,0,0,0,7.670774,3.790154,7.721529,19.18246,6.394153
16,0,0,0,0,7.066191,3.218212,6.445853,16.73026,5.576752
17,0,0,0,0,6.360723,2.886012,5.380689,14.62742,4.875808
18,0,0,0,0,5.682708,2.671091,4.675216,13.02902,4.343005
19,0,0,0,0,4.290752,2.615591,3.837962,10.7443,3.581435
20,0,0,0,0,3.617431,2.38734,3.175132,9.179903,3.059968
21,0,0,0,0,3.317629,2.15579,2.76727,8.240689,2.746896
22,0,0,0,0,3.018763,2.022397,2.478632,7.519791,2.506597
23,0,0,0,0,2.834298,1.921777,2.280678,7.036752,2.345584
All,0,0,0,0,57.93166,77.70202,83.63965
Average,0,0,0,0,5.266515,3.237584,3.484985
