Clock,2016/10/2,2016/10/3,2016/10/4,2016/10/5,2016/10/6,2016/10/7,2016/10/8,All,Average
0,0,0,84.07231,,,,,84.07231,84.07231
1,0,0,84.37917,,,,,84.37917,84.37917
2,0,0,84.72308,,,,,84.72308,84.72308
3,0,0,85.01154,,,,,85.01154,85.01154
4,0,0,85.43077,,,,,85.43077,85.43077
5,0,0,85.68,,,,,85.68,85.68
6,0,0,85.85308,,,,,85.85308,85.85308
7,0,0,85.94769,,,,,85.94769,85.94769
8,0,0,85.76692,,,,,85.76692,85.76692
9,0,0,85.47333,,,,,85.47333,85.47333
10,0,0,0,,,,,0
11,0,0,,,,,,0
12,0,0,,,,,,0
13,0,0,,,,,,0
14,0,0,,,,,,0
15,0,0,,,,,,0
16,0,0,,,,,,0
17,0,75.62917,,,,,,75.62917,75.62917
18,0,77.56308,,,,,,77.56308,77.56308
19,0,79.74231,,,,,,79.74231,79.74231
20,0,80.90615,,,,,,80.90615,80.90615
21,0,82.03615,,,,,,82.03615,82.03615
22,0,83.0125,,,,,,83.0125,83.0125
23,0,83.73385,,,,,,83.73385,83.73385
All,0,562.6232,852.3379,0,0,0,0
Average,0,80.37474,85.23379,0,0,0,0
