Clock,2016/9/25,2016/9/26,2016/9/27,2016/9/28,2016/9/29,2016/9/30,2016/10/1,All,Average
0,0,0,1,1,5,0,62,69,17.25
1,0,0,1,0,1,1,78,81,20.25
2,0,0,0,0,3,3,73,79,26.33333
3,0,0,1,4,5,0,65,75,18.75
4,0,0,2,2,10,2,70,86,17.2
5,0,0,0,5,5,3,70,83,20.75
6,0,1,0,2,7,2,74,86,17.2
7,0,4,0,14,8,14,73,113,22.6
8,0,4,3,0,8,4,80,99,19.8
9,2,9,1,0,3,12,66,93,15.5
10,4,3,0,0,10,4,88,109,21.8
11,1,5,5,0,3,9,71,94,15.66667
12,0,10,7,6,11,24,65,123,20.5
13,1,4,0,17,8,4,38,72,12
14,0,4,2,34,4,2,70,116,19.33333
15,0,0,1,64,13,332,59,469,93.8
16,0,1,1,21,4,575,72,674,112.3333
17,1,1,2,18,1,83,78,184,26.28571
18,0,2,2,15,2,70,66,157,26.16667
19,0,2,0,7,0,76,64,149,37.25
20,0,1,4,8,0,64,58,135,27
21,0,1,2,21,1,111,,136,27.2
22,1,1,3,7,0,39,,51,10.2
23,0,3,0,4,0,39,,46,15.33333
All,10,56,38,250,112,1473,1440
Average,1.666667,3.294118,2.375,13.88889,5.6,66.95455,68.57143
