Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,2,0,1,1,0,0,0,4,1.333333
1,7,2,0,1,3,1,0,14,2.8
2,4,3,2,1,0,0,0,10,2.5
3,4,0,1,1,0,3,0,9,2.25
4,2,1,0,0,2,1,0,6,1.5
5,4,2,2,0,3,1,0,12,2.4
6,3,4,0,1,3,5,2,18,3
7,2,1,6,45,3,3,0,60,10
8,8,0,2,43,3,4,1,61,10.16667
9,3,0,6,24,3,2,0,38,7.6
10,1,3,2,51,2,3,0,62,10.33333
11,6,3,69,13,0,11,0,102,20.4
12,4,2,10,12,0,0,0,28,7
13,3,1,9,16,3,2,0,34,5.666667
14,4,1,7,3,2,0,2,19,3.166667
15,6,0,20,6,1,1,1,35,5.833333
16,3,3,46,2,4,3,0,61,10.16667
17,3,0,28,4,2,5,0,42,8.4
18,2,0,5,11,0,1,0,19,4.75
19,2,0,2,8,3,3,0,18,3.6
20,3,3,1,0,1,2,0,10,2
21,2,2,1,3,1,0,0,9,1.8
22,4,0,3,2,0,2,1,12,2.4
23,2,0,0,1,1,2,0,6,1.5
All,84,31,223,249,40,55,7
Average,3.5,2.214286,11.15,11.85714,2.352941,2.894737,1.4
