Index,PR
0,2016/9/14,1013.59
1,2016/9/15,1014.104
2,2016/9/16,1014.895
3,2016/9/17,1011.754
4,2016/9/18,1006.73
5,2016/9/19,1007.766
6,2016/9/20,1008.814
7,2016/9/21,1009.291
8,2016/9/22,1017.054
9,2016/9/23,1012.694
