Index,Date,LX
0,2016/9/14,40999.98
1,2016/9/15,40999.98
2,2016/9/16,40999.98
3,2016/9/17,40999.98
4,2016/9/18,40999.98
5,2016/9/19,40999.98
6,2016/9/20,13127.55
7,2016/9/21,1352.338
8,2016/9/22,704.3099
9,2016/9/23,727.0198
10,2016/9/24,724.5178
11,2016/9/25,2090.136
12,2016/9/26,1117.701
13,2016/9/27,0
14,2016/9/28,206.749
15,2016/9/29,656.6535
16,2016/9/30,1112.278
17,2016/10/1,728.4195
18,2016/10/2,1098.727
19,2016/10/3,604.5792
20,2016/10/4,1244.662
21,2016/10/5,709.098
