Index,Date,HD
0,2016/9/14,7.503221
1,2016/9/15,8.089368
2,2016/9/16,7.825536
3,2016/9/17,9.911688
4,2016/9/18,8.211738
5,2016/9/19,7.612781
6,2016/9/20,7.388089
7,2016/9/21,8.36826
8,2016/9/22,7.365438
9,2016/9/23,6.379368
10,2016/9/24,6.165458
11,2016/9/25,8.534265
12,2016/9/26,8.896101
13,2016/9/27,0
14,2016/9/28,9.465818
15,2016/9/29,8.680111
16,2016/9/30,11.12576
17,2016/10/1,9.552552
18,2016/10/2,12.78889
19,2016/10/3,8.551955
20,2016/10/4,6.917469
