Index,Date,TE
0,2016/9/14,26.41
1,2016/9/15,26.79335
2,2016/9/16,27.15453
3,2016/9/17,29.82164
4,2016/9/18,28.70738
5,2016/9/19,27.75668
6,2016/9/20,26.96552
7,2016/9/21,248.7989
8,2016/9/22,26.0716
9,2016/9/23,26.15997
10,2016/9/24,26.29515
11,2016/9/25,28.61448
12,2016/9/26,28.52752
13,2016/9/27,0
14,2016/9/28,28.75195
15,2016/9/29,28.84443
16,2016/9/30,27.76748
17,2016/10/1,27.13802
18,2016/10/2,30.17128
19,2016/10/3,27.5563
