Index,Date,HU
0,2016/9/14,69.92
1,2016/9/15,68.2717
2,2016/9/16,69.92526
3,2016/9/17,67.87011
4,2016/9/18,71.01442
5,2016/9/19,71.68723
6,2016/9/20,71.32949
7,2016/9/21,224.8297
8,2016/9/22,69.93103
9,2016/9/23,74.0819
10,2016/9/24,75.18756
11,2016/9/25,70.85099
12,2016/9/26,68.60926
13,2016/9/27,0
14,2016/9/28,66.69045
15,2016/9/29,69.74693
16,2016/9/30,59.15355
17,2016/10/1,63.26091
18,2016/10/2,60.377
19,2016/10/3,67.28273
20,2016/10/4,63.43679
