Clock,2016/10/2,2016/10/3,2016/10/4,2016/10/5,2016/10/6,2016/10/7,2016/10/8,All,Average
0,0,0,80.545,0,,,,80.545,80.545
1,0,0,80.935,0,,,,80.935,80.935
2,0,0,81.40818,0,,,,81.40818,81.40818
3,0,0,81.86667,0,,,,81.86667,81.86667
4,0,0,82.34417,0,,,,82.34417,82.34417
5,0,0,82.6725,0,,,,82.6725,82.6725
6,0,0,82.8875,0,,,,82.8875,82.8875
7,0,0,82.5675,0,,,,82.5675,82.5675
8,0,0,81.4,0,,,,81.4,81.4
9,0,0,80.14,0,,,,80.14,80.14
10,0,0,0,0,,,,0
11,0,0,0,0,,,,0
12,0,0,0,0,,,,0
13,0,0,0,0,,,,0
14,0,0,0,0,,,,0
15,0,0,0,0,,,,0
16,0,0,0,0,,,,0
17,0,66.57167,0,0,,,,66.57167,66.57167
18,0,71.31917,0,0,,,,71.31917,71.31917
19,0,74.66909,0,,,,,74.66909,74.66909
20,0,76.4225,0,,,,,76.4225,76.4225
21,0,78.01,0,,,,,78.01,78.01
22,0,79.3075,0,,,,,79.3075,79.3075
23,0,80.15167,0,,,,,80.15167,80.15167
All,0,526.4516,816.7665,0,0,0,0
Average,0,75.20737,81.67665,0,0,0,0
