Clock,2016/9/25,2016/9/26,2016/9/27,2016/9/28,2016/9/29,2016/9/30,2016/10/1,All,Average
0,0.98,0.98,0.98,0.98,0,0,,3.92,0.98
1,0.98,0.98,0.98,0.98,0,0,,3.92,0.98
2,0.98,0.98,0.98,0.98,0,0,,3.92,0.98
3,0.98,0.98,0.98,0.98,0,0,,3.92,0.98
4,0.98,0.98,0.98,0.98,0,0,,3.92,0.98
5,0.98,0.98,0.98,0.98,0,0,,3.92,0.98
6,264.8125,283.3658,21.8925,196.2075,0,0,,766.2783,191.5696
7,2295.246,4172.606,335.8533,2929.035,0,0,,9732.74,2433.185
8,5391.679,8447.832,361.1658,7927.568,0,0,,22128.24,5532.061
9,12836.01,14913.49,609.9064,12379.14,0,0,,40738.55,10184.64
10,4355.392,4525.307,822.5083,20930.5,0,2825.682,,33459.39,6691.878
11,3604.57,2289.062,1034.83,45325.25,0,3190.103,,55443.81,11088.76
12,3080.565,12264.72,1457.112,18632.15,0,3459.959,,38894.51,7778.902
13,1787.435,11240.39,3385.985,14784.47,0,2210.635,,33408.92,6681.784
14,1725.587,11097.57,6465.084,3155.191,0,1680.583,,24124.01,4824.803
15,1669.188,6757.891,3441.729,2081.46,0,4376.3,,18326.57,3665.314
16,739.585,3981.443,2357.665,1567.137,0,1652.697,,10298.53,2059.706
17,600.5058,2293.781,744.385,2511.72,0,,,6150.392,1537.598
18,533.2017,235.5942,146.485,0,0,,,915.2808,305.0936
19,1.060833,0.98,0.98,0,0,,,3.020833,1.006944
20,0.98,0.98,0.98,0,0,,,2.94,0.98
21,0.98,0.98,0.98,0,0,,,2.94,0.98
22,0.98,0.98,0.98,0,0,,,2.94,0.98
23,0.98,0.98,0.98,0,0,,,2.94,0.98
All,38894.64,82513.83,21195.38,132425.7,0,19395.96,0
Average,1620.61,3438.076,883.1409,7356.984,0,2770.851,0
