Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,0,0,3.643424,3.876459,3.807925,4.099868,4.326203,19.75388,3.950776
1,0,0,3.550204,3.95542,3.925182,3.896628,4.198452,19.52589,3.905177
2,0,0,3.487142,3.927286,3.646576,3.821505,3.897261,18.77977,3.755954
3,0,0,3.49326,3.817371,2.816778,3.738019,3.590187,17.45561,3.491123
4,0,0,3.573049,3.744092,2.519866,3.547514,3.404806,16.78933,3.357865
5,0,0,3.608845,3.648526,2.312438,3.340233,3.290759,16.2008,3.24016
6,0,0,3.578622,3.433959,2.114947,3.453078,3.223569,15.80417,3.160835
7,0,0,3.86955,4.049344,2.168391,4.805959,4.504158,19.3974,3.87948
8,0,0,5.233707,7.667837,3.018313,9.856532,8.935099,34.71149,6.942298
9,0,0,14.56584,7.760792,5.808709,31.85921,27.60492,87.59947,17.51989
10,0,0,32.47192,10.47258,14.16361,43.56848,36.12249,136.7991,27.35982
11,0,0,21.15703,20.63982,18.74829,22.3094,16.92457,99.77911,19.95582
12,0,0,15.46395,21.53615,12.40534,19.408,15.26007,84.07351,16.8147
13,0,0,11.00707,13.31742,11.5132,19.02707,16.62889,71.49366,14.29873
14,0,0,10.84487,10.90366,12.9577,14.05773,17.59123,66.35519,13.27104
15,0,0,11.72684,9.270165,8.811786,12.32406,14.38046,56.51332,11.30266
16,0,0,10.72328,7.536822,7.855973,10.22488,11.41056,47.75151,9.550303
17,0,8.505604,9.471735,7.057697,8.127845,9.31788,9.6021,52.08286,8.680477
18,0,7.117753,7.327012,5.940707,5.541893,7.216906,7.260084,40.40436,6.734059
19,0,5.550117,5.928958,5.223257,4.831437,5.939639,5.609204,33.08261,5.513769
20,0,4.905177,5.395864,4.498762,4.317887,5.423483,4.993071,29.53424,4.922374
21,0,4.493631,4.830863,4.236776,4.452115,5.047631,4.562638,27.62365,4.603942
22,0,4.188197,4.3639,3.92467,4.412585,4.703073,4.131296,25.72372,4.287287
23,0,3.761039,4.152259,3.576725,4.231962,4.449526,3.781827,23.95334,3.992223
All,0,38.52152,203.4692,174.0163,154.5107,255.4363,235.2339
Average,0,5.503074,8.477883,7.250679,6.437948,10.64318,9.801413
