Clock,2016/9/4,2016/9/5,2016/9/6,2016/9/7,2016/9/8,2016/9/9,2016/9/10,All,Average
0,0,0,0,0,0,1006.033,0,1006.033,1006.033
1,0,0,0,0,0,1005.276,0,1005.276,1005.276
2,0,0,0,0,0,1005.612,0,1005.612,1005.612
3,0,0,0,0,0,1005.103,0,1005.103,1005.103
4,0,0,0,0,0,1005.005,0,1005.005,1005.005
5,0,0,0,0,0,1005.157,0,1005.157,1005.157
6,0,0,0,0,0,1005.437,0,1005.437,1005.437
7,0,0,0,0,0,1005.984,0,1005.984,1005.984
8,0,0,0,0,0,1006.07,0,1006.07,1006.07
9,0,0,0,0,0,1006.402,1007.08,2013.482,1006.741
10,0,0,0,0,1005.71,1006.676,1006.057,3018.443,1006.148
11,0,0,0,0,0,1006.369,1006.056,2012.425,1006.213
12,0,0,0,0,0,1006.247,1005.559,2011.806,1005.903
13,0,0,0,0,1004.835,1005.715,1005.269,3015.819,1005.273
14,0,0,0,0,1004.509,1005.582,1004.779,3014.871,1004.957
15,0,0,0,0,1004.707,1005.261,1004.485,3014.453,1004.818
16,0,0,0,0,1004.462,1005.666,1004.549,3014.677,1004.892
17,0,0,0,0,1004.417,1005.715,1004.867,3014.998,1004.999
18,0,0,0,0,1004.633,1005.897,1005.108,3015.637,1005.212
19,0,0,0,0,1005.259,1006.502,1005.334,3017.095,1005.698
20,0,0,0,0,1005.837,1006.389,1005.147,3017.373,1005.791
21,0,0,0,0,1006.259,1007.25,1006.192,3019.701,1006.567
22,0,0,0,0,1006.442,0,1006.146,2012.587,1006.294
23,0,0,0,0,1006.42,0,1006.314,2012.734,1006.367
All,0,0,0,0,12063.49,22129.35,15082.94
Average,0,0,0,0,1005.291,1005.879,1005.53
