Clock,2016/9/4,2016/9/5,2016/9/6,2016/9/7,2016/9/8,2016/9/9,2016/9/10,All,Average
0,0,0,0,0,0,26.76083,0,26.76083,26.76083
1,0,0,0,0,0,26.76,0,26.76,26.76
2,0,0,0,0,0,26.85818,0,26.85818,26.85818
3,0,0,0,0,0,26.88917,0,26.88917,26.88917
4,0,0,0,0,0,26.87583,0,26.87583,26.87583
5,0,0,0,0,0,26.84667,0,26.84667,26.84667
6,0,0,0,0,0,26.99083,0,26.99083,26.99083
7,0,0,0,0,0,29.535,0,29.535,29.535
8,0,0,0,0,0,32.8025,0,32.8025,32.8025
9,0,0,0,0,0,33.97167,36.55,70.52167,35.26083
10,0,0,0,0,31.88,39.56167,37.26923,108.7109,36.23697
11,0,0,0,0,0,33.88833,36.72667,70.615,35.3075
12,0,0,0,0,0,37.44167,39.85667,77.29833,38.64917
13,0,0,0,0,31.655,39.38692,45.48083,116.5228,38.84092
14,0,0,0,0,32.909,30.8125,43.49692,107.2184,35.73947
15,0,0,0,0,34.11833,28.22833,40.5725,102.9192,34.30639
16,0,0,0,0,32.44583,28.24,35.10417,95.79,31.93
17,0,0,0,0,31.71083,28.18273,32.65833,92.55189,30.85063
18,0,0,0,0,30.8125,27.81667,31.355,89.98417,29.99472
19,0,0,0,0,27.9425,27.03667,28.83667,83.81583,27.93861
20,0,0,0,0,26.98333,26.78,27.96333,81.72667,27.24222
21,0,0,0,0,26.83091,26.9,27.68083,81.41174,27.13725
22,0,0,0,0,26.92083,0,27.455,54.37583,27.18792
23,0,0,0,0,26.82,0,27.79167,54.61167,27.30583
All,0,0,0,0,361.0291,658.5662,518.7978
Average,0,0,0,0,30.08576,29.93483,34.58652
