Time, Date, Ch1, Ch2, NAE
3556193653,2016/9/8 15:34:13,15,316,0
3556193654,2016/9/8 15:34:14,17,369,0
3556193655,2016/9/8 15:34:15,18,303,0
3556193656,2016/9/8 15:34:16,18,324,0
3556193657,2016/9/8 15:34:17,14,317,0
3556193658,2016/9/8 15:34:18,16,327,0
3556193659,2016/9/8 15:34:19,18,418,0
3556193660,2016/9/8 15:34:20,19,343,0
3556193661,2016/9/8 15:34:21,18,362,0
3556193662,2016/9/8 15:34:22,15,372,0
3556193663,2016/9/8 15:34:23,15,312,0
3556193664,2016/9/8 15:34:24,16,358,0
3556193681,2016/9/8 15:34:41,18,340,0
3556193682,2016/9/8 15:34:42,18,360,0
3556193683,2016/9/8 15:34:43,18,408,0
3556193684,2016/9/8 15:34:44,17,433,0
3556193685,2016/9/8 15:34:45,18,428,0
3556193686,2016/9/8 15:34:46,15,398,0
3556193687,2016/9/8 15:34:47,16,448,0
3556193688,2016/9/8 15:34:48,15,465,0
3556193689,2016/9/8 15:34:49,18,414,0
3556193690,2016/9/8 15:34:50,18,437,0
3556193691,2016/9/8 15:34:51,19,476,0
3556193692,2016/9/8 15:34:52,18,463,0
3556193693,2016/9/8 15:34:53,17,449,0
3556193694,2016/9/8 15:34:54,15,505,0
3556193695,2016/9/8 15:34:55,17,452,0
3556193696,2016/9/8 15:34:56,17,496,0
3556193697,2016/9/8 15:34:57,20,491,0
3556193698,2016/9/8 15:34:58,18,521,0
3556193699,2016/9/8 15:34:59,18,492,0
3556193700,2016/9/8 15:35:0,18,452,0
3556193701,2016/9/8 15:35:1,15,484,0
3556193702,2016/9/8 15:35:2,15,490,0
3556193703,2016/9/8 15:35:3,16,445,0
3556193704,2016/9/8 15:35:4,18,400,0
3556193705,2016/9/8 15:35:5,16,451,0
3556193706,2016/9/8 15:35:6,15,479,0
3556193707,2016/9/8 15:35:7,17,454,0
3556193708,2016/9/8 15:35:8,21,452,0
3556193709,2016/9/8 15:35:9,16,490,0
3556193710,2016/9/8 15:35:10,18,477,0
3556193711,2016/9/8 15:35:11,20,470,0
3556193712,2016/9/8 15:35:12,16,495,0
3556193713,2016/9/8 15:35:13,21,487,0
3556193714,2016/9/8 15:35:14,20,450,0
3556193715,2016/9/8 15:35:15,16,494,0
3556193716,2016/9/8 15:35:16,19,514,0
3556193717,2016/9/8 15:35:17,16,549,0
3556193718,2016/9/8 15:35:18,18,556,0
3556193719,2016/9/8 15:35:19,18,633,0
3556193720,2016/9/8 15:35:20,21,687,0
3556193721,2016/9/8 15:35:21,14,616,0
3556193722,2016/9/8 15:35:22,17,681,0
3556193723,2016/9/8 15:35:23,17,674,0
3556193724,2016/9/8 15:35:24,17,783,0
3556193725,2016/9/8 15:35:25,16,603,0
3556193726,2016/9/8 15:35:26,19,801,0
3556193745,2016/9/8 15:35:45,20,741,0
3556193746,2016/9/8 15:35:46,17,734,0
3556193747,2016/9/8 15:35:47,18,682,0
3556193748,2016/9/8 15:35:48,17,700,0
3556193758,2016/9/8 15:35:58,18,616,0
3556193759,2016/9/8 15:35:59,17,741,0
3556193760,2016/9/8 15:36:0,18,672,0
3556193761,2016/9/8 15:36:1,19,724,0
3556193762,2016/9/8 15:36:2,22,693,0
3556193763,2016/9/8 15:36:3,18,798,0
3556193781,2016/9/8 15:36:21,19,603,0
3556193782,2016/9/8 15:36:22,16,814,0
3556193783,2016/9/8 15:36:23,16,575,0
3556193784,2016/9/8 15:36:24,16,553,0
3556193785,2016/9/8 15:36:25,19,555,0
3556193786,2016/9/8 15:36:26,18,547,0
3556193787,2016/9/8 15:36:27,17,582,0
3556193788,2016/9/8 15:36:28,18,657,0
3556193789,2016/9/8 15:36:29,15,694,0
3556193790,2016/9/8 15:36:30,19,715,0
3556193791,2016/9/8 15:36:31,17,617,0
3556193792,2016/9/8 15:36:32,17,629,0
3556193793,2016/9/8 15:36:33,17,566,0
3556193794,2016/9/8 15:36:34,15,605,0
3556193795,2016/9/8 15:36:35,16,769,0
3556193796,2016/9/8 15:36:36,19,851,0
3556193797,2016/9/8 15:36:37,18,731,0
3556193798,2016/9/8 15:36:38,18,810,0
3556193799,2016/9/8 15:36:39,16,731,0
