Clock,2016/9/25,2016/9/26,2016/9/27,2016/9/28,2016/9/29,2016/9/30,2016/10/1,All,Average
0,1016.261,1016.843,0,0,1008.54,1012.692,,4054.335,1013.584
1,1016.796,1016.464,0,0,1007.451,1012.715,,4053.426,1013.357
2,1016.162,1016.095,0,0,1007.568,1012.921,,4052.746,1013.186
3,1015.516,1016.216,0,0,1007.23,1013.621,,4052.582,1013.146
4,1015.857,1017.434,0,0,1007.272,1014.226,,4054.788,1013.697
5,1016.206,1016.832,0,0,1007.62,1014.779,,4055.438,1013.86
6,1016.524,1017.358,0,0,1007.005,1015.53,,4056.417,1014.104
7,1016.855,1018.267,0,0,1007.647,1016.585,,4059.353,1014.838
8,1017.041,1018.16,0,0,1008.233,1017.337,,4060.771,1015.193
9,1017.1,1018.2,0,0,1007.639,1016.574,,4059.513,1014.878
10,1016.523,1017.676,0,0,1007.318,,,3041.518,1013.839
11,1015.93,1017.781,0,0,1006.6,,,3040.311,1013.437
12,1016.091,1016.783,0,0,1006.291,,,3039.165,1013.055
13,1015.072,1016.245,0,0,1006.095,,,3037.411,1012.47
14,1014.448,1016.202,0,0,1006.535,,,3037.184,1012.395
15,1014.122,1016.711,0,0,1006.987,,,3037.819,1012.606
16,1014.42,1016.758,0,1008.13,1007.602,,,4046.91,1011.728
17,1014.497,1016.784,0,1008.619,1008.556,,,4048.457,1012.114
18,1015.191,1017.767,0,1008.656,1009.166,,,4050.78,1012.695
19,1016.104,1017.88,0,1009.188,1010.025,,,4053.197,1013.299
20,1016.444,0,0,1009.372,1011.208,,,3037.025,1012.342
21,1016.582,0,0,1010.088,1011.917,,,3038.588,1012.863
22,1016.638,0,0,1009.082,1012.266,,,3037.987,1012.662
23,1016.203,0,0,1008.976,1012.067,,,3037.247,1012.416
All,24382.58,20342.46,0,8072.112,24198.84,10146.98,0
Average,1015.941,1017.123,0,1009.014,1008.285,1014.698,0
