Clock,2016/9/25,2016/9/26,2016/9/27,2016/9/28,2016/9/29,2016/9/30,2016/10/1,All,Average
0,5.500897,6.975276,0,0,8.080421,8.62182,9.444577,38.62299,7.724598
1,5.546095,6.901074,0,0,7.876199,8.83656,9.443606,38.60353,7.720707
2,5.545189,6.897283,0,0,7.788233,8.855106,9.416917,38.50273,7.700545
3,5.542774,6.851929,0,0,7.703748,8.865433,9.414077,38.37796,7.675592
4,5.554827,6.815965,0,0,7.550067,8.893625,9.381078,38.19556,7.639112
5,5.576686,6.7694,0,0,7.496728,8.961154,9.302795,38.10676,7.621353
6,5.687121,6.819977,0,0,7.419272,9.095207,9.214803,38.23638,7.647276
7,6.017403,6.982261,0,0,7.524885,9.601135,9.211438,39.33712,7.867424
8,6.657788,7.383448,0,0,7.569568,10.07975,9.626126,41.31668,8.263337
9,8.112343,8.441355,0,0,7.80673,12.95772,10.21891,47.53706,9.507412
10,11.58085,8.814658,0,0,8.789472,14.49531,10.70003,54.38031,10.87606
11,15.83376,9.34363,0,0,10.0611,17.56024,10.50563,63.30436,12.66087
12,13.80206,13.1597,0,0,10.05353,17.98972,10.20132,65.20633,13.04127
13,13.52084,13.73962,0,0,11.59276,15.96204,10.00722,64.82248,12.9645
14,12.47783,12.47255,0,0,11.42599,13.47678,10.39059,60.24374,12.04875
15,11.16337,10.76397,0,0,10.43947,12.28102,10.29542,54.94326,10.98865
16,10.14855,10.30104,0,10.0861,9.61561,11.43207,9.598583,61.18195,10.19699
17,9.431978,9.831951,0,10.12481,9.024165,10.8755,9.257253,58.54566,9.75761
18,8.875447,9.436961,0,10.04311,8.68885,10.40072,9.086086,56.53117,9.421862
19,8.410821,9.219956,0,9.859874,8.434673,9.995817,8.959466,54.88061,9.146768
20,7.944898,0,0,9.484146,8.254704,9.664599,8.942228,44.29057,8.858115
21,7.582105,0,0,9.125278,8.295292,9.376752,8.914627,43.29405,8.658811
22,7.235952,0,0,8.661443,8.402501,9.322846,8.902818,42.52556,8.505112
23,7.072793,0,0,8.341783,8.428699,9.417274,8.825664,42.08621,8.417242
All,204.8224,177.922,0,75.72655,208.3227,267.0182,229.2613
Average,8.534265,8.896101,0,9.465818,8.680111,11.12576,9.552552
