Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,All,Average
0,0,0,0,0,0,1015.401,1013.608,2029.008,1014.504
1,0,0,0,0,0,1014.932,1013.621,2028.553,1014.276
2,0,0,0,0,0,1014.523,1013.468,2027.991,1013.995
3,0,0,0,0,0,1014.953,1012.879,2027.832,1013.916
4,0,0,0,0,0,1015.116,1013.048,2028.164,1014.082
5,0,0,0,0,0,1015.433,1012.609,2028.042,1014.021
6,0,0,0,0,0,1015.169,1013.268,2028.438,1014.219
7,0,0,0,0,0,1015.379,1013.54,2028.919,1014.46
8,0,0,0,0,0,1016.315,1013.227,2029.542,1014.771
9,0,0,0,1013.59,0,1015.583,1012.896,3042.069,1014.023
10,0,0,0,0,0,1014.864,1012.249,2027.113,1013.557
11,0,0,0,0,0,1014.883,1011.543,2026.426,1013.213
12,0,0,0,0,0,1014.514,1010.993,2025.508,1012.754
13,0,0,0,0,1012.212,1014.203,1010.539,3036.953,1012.318
14,0,0,0,0,1012.979,1013.498,1010.059,3036.537,1012.179
15,0,0,0,0,1012.645,1014.425,1009.862,3036.932,1012.311
16,0,0,0,0,1012.87,1014.381,1009.966,3037.217,1012.406
17,0,0,0,0,1013.444,1014.511,1010.187,3038.142,1012.714
18,0,0,0,0,1014.499,1014.516,,2029.015,1014.507
19,0,0,0,0,1015.293,1014.934,,2030.227,1015.113
20,0,0,0,0,1015.428,1015.161,,2030.589,1015.295
21,0,0,0,0,1015.123,1014.713,,2029.836,1014.918
22,0,0,0,0,1015.334,1015.335,,2030.669,1015.334
23,0,0,0,0,1015.321,1014.734,,2030.055,1015.027
All,0,0,0,1013.59,11155.15,24357.48,18217.56
Average,0,0,0,1013.59,1014.104,1014.895,1012.087
