Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,All,Average
0,0,0,0,0,0,26.98818,27.04583,54.03402,27.01701
1,0,0,0,0,0,27.0575,27.11,54.1675,27.08375
2,0,0,0,0,0,27.00583,27.1175,54.12333,27.06167
3,0,0,0,0,0,26.96333,27.0225,53.98583,26.99292
4,0,0,0,0,0,26.95667,27.03091,53.98758,26.99379
5,0,0,0,0,0,26.95364,27.01917,53.9728,26.9864
6,0,0,0,0,0,27.13917,27.43333,54.5725,27.28625
7,0,0,0,0,0,26.89083,28.27833,55.16917,27.58458
8,0,0,0,0,0,26.67417,29.44083,56.115,28.0575
9,0,0,0,26.41,0,27.89333,31.68167,85.985,28.66167
10,0,0,0,0,0,28.47333,35.25727,63.73061,31.8653
11,0,0,0,0,0,28.32727,34.5725,62.89977,31.44989
12,0,0,0,0,0,27.13833,32.32,59.45833,29.72917
13,0,0,0,0,27.21833,27.24083,32.78667,87.24583,29.08194
14,0,0,0,0,27.16583,27.91917,,55.085,27.5425
15,0,0,0,0,27.03333,26.96083,,53.99417,26.99708
16,0,0,0,0,26.9575,26.97545,,53.93295,26.96648
17,0,0,0,0,26.76667,26.68833,,53.455,26.7275
18,0,0,0,0,26.53273,26.92083,,53.45356,26.72678
19,0,0,0,0,26.41417,26.96083,,53.375,26.6875
20,0,0,0,0,26.39083,26.90917,,53.3,26.65
21,0,0,0,0,26.63417,26.8425,,53.47667,26.73833
22,0,0,0,0,26.75667,26.91,,53.66667,26.83333
23,0,0,0,0,26.85667,26.91917,,53.77583,26.88792
All,0,0,0,26.41,294.7269,651.7087,414.1165
Average,0,0,0,26.41,26.79335,27.15453,29.57975
