Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,1.759391,0.6009615,0,0
1,0,0,0,0,0,0,0,0,1.683016,1.617612,0,0
2,0,0,0,0,0,0,0,0,1.628409,1.550576,0,0
3,0,0,0,0,0,0,0,0,1.55281,1.5431,0,0
4,0,0,0,0,0,0,0,0,1.485104,0.975119,0,0
5,0,0,0,0,0,0,0,0,1.433163,0.9567182,0,0
6,0,0,0,0,0,0,0,0,1.311644,0.9431323,0,0
7,0,0,0,0,0,0,0,0,1.404013,0.9513251,0,0
8,0,0,0,0,0,0,0,0,2.299263,0.9955736,0,0
9,0,0,0,0,0,0,0,0,3.551838,1.042577,0,0
10,0,0,0,0,0,0,0,0,4.823157,0,0,0
11,0,0,0,0,0,0,0,0,4.699718,0,0,0
12,0,0,0,0,0,0,0,0,4.939689,0,0,0
13,0,0,0,0,0,0,0,0,4.930392,0,0,0
14,0,0,0,0,0,0,0,0,4.817427,0,0,0
15,0,0,0,0,0,0,0,0,5.020791,0,0,0
16,0,0,0,0,0,0,0,0,4.25288,0,0,0
17,0,0,0,0,0,0,0,0,3.995106,2.018838,0,0
18,0,0,0,0,0,0,0,0,3.386225,1.67306,0,0
19,0,0,0,0,0,0,0,0,2.706894,1.893607,0,0
20,0,0,0,0,0,0,0,0,2.388463,1.749537,0,0
21,0,0,0,0,0,0,0,0,2.176323,1.628994,0,0
22,0,0,0,0,0,0,0,0,2.006804,1.528934,0,0
23,0,0,0,0,0,0,0,0,1.881143,1.463309,0,0
