Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,640.0444,335.4147,0,0
1,0,0,0,0,0,0,0,0,639.6848,335.3248,0,0
2,0,0,0,0,0,0,0,0,639.3881,335.1186,0,0
3,0,0,0,0,0,0,0,0,639.1478,335.2279,0,0
4,0,0,0,0,0,0,0,0,638.9776,167.1038,0,0
5,0,0,0,0,0,0,0,0,639.01,166.9753,0,0
6,0,0,0,0,0,0,0,0,593.3776,167.0745,0,0
7,0,0,0,0,0,0,0,0,593.7235,200.6208,0,0
8,0,0,0,0,0,0,0,0,593.927,200.7763,0,0
9,0,0,0,0,0,0,0,0,639.923,200.75,0,0
10,0,0,0,0,0,0,0,0,685.8137,0,0,0
11,0,0,0,0,0,0,0,0,640.1048,0,0,0
12,0,0,0,0,0,0,0,0,639.8412,0,0,0
13,0,0,0,0,0,0,0,0,639.5673,0,0,0
14,0,0,0,0,0,0,0,0,655.1187,0,0,0
15,0,0,0,0,0,0,0,0,698.7787,0,0,0
16,0,0,0,0,0,0,0,0,654.8939,0,0,0
17,0,0,0,0,0,0,0,0,698.7511,199.9822,0,0
18,0,0,0,0,0,0,0,0,699.2832,200.0268,0,0
19,0,0,0,0,0,0,0,0,655.8114,200.1992,0,0
20,0,0,0,0,0,0,0,0,656.1251,200.2695,0,0
21,0,0,0,0,0,0,0,0,656.1781,200.3426,0,0
22,0,0,0,0,0,0,0,0,656.3532,200.4268,0,0
23,0,0,0,0,0,0,0,0,656.2768,200.3646,0,0
