Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,0.6681818,0.3266667,0,0
1,0,0,0,0,0,0,0,0,0.6681818,0.3266667,0,0
2,0,0,0,0,0,0,0,0,0.6681818,0.3266667,0,0
3,0,0,0,0,0,0,0,0,0.6681818,0.392,0,0
4,0,0,0,0,0,0,0,0,0.6681818,0.196,0,0
5,0,0,0,0,0,0,0,0,0.6681818,0.196,0,0
6,0,0,0,0,0,0,0,0,149.0342,26.3025,0,0
7,0,0,0,0,0,0,0,0,1580.016,242.4642,0,0
8,0,0,0,0,0,0,0,0,3468.659,465.8688,0,0
9,0,0,0,0,0,0,0,0,6285.192,477.636,0,0
10,0,0,0,0,0,0,0,0,6052.665,0,0,0
11,0,0,0,0,0,0,0,0,5365.5,0,0,0
12,0,0,0,0,0,0,0,0,3717.871,0,0,0
13,0,0,0,0,0,0,0,0,3843.399,0,0,0
14,0,0,0,0,0,0,0,0,2826.201,0,0,0
15,0,0,0,0,0,0,0,0,2146.992,0,0,0
16,0,0,0,0,0,0,0,0,1128.248,0,0,0
17,0,0,0,0,0,0,0,0,1081.538,649.4787,0,0
18,0,0,0,0,0,0,0,0,336.6237,43.62,0,0
19,0,0,0,0,0,0,0,0,1.056486,0.196,0,0
20,0,0,0,0,0,0,0,0,0.6817391,0.196,0,0
21,0,0,0,0,0,0,0,0,0.7243478,0.196,0,0
22,0,0,0,0,0,0,0,0,0.6817391,0.196,0,0
23,0,0,0,0,0,0,0,0,0.6817391,0.196,0,0
