Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,685.5214,335.1981,0,0
1,0,0,0,0,0,0,0,0,685.2893,334.9943,0,0
2,0,0,0,0,0,0,0,0,684.9772,334.9131,0,0
3,0,0,0,0,0,0,0,0,684.7114,334.8874,0,0
4,0,0,0,0,0,0,0,0,684.5152,166.8544,0,0
5,0,0,0,0,0,0,0,0,684.6499,166.8944,0,0
6,0,0,0,0,0,0,0,0,638.942,167.0376,0,0
7,0,0,0,0,0,0,0,0,639.1601,167.0325,0,0
8,0,0,0,0,0,0,0,0,639.5209,167.1763,0,0
9,0,0,0,0,0,0,0,0,731.3161,200.594,0,0
10,0,0,0,0,0,0,0,0,777.2332,0,0,0
11,0,0,0,0,0,0,0,0,699.6883,0,0,0
12,0,0,0,0,0,0,0,0,699.3837,0,0,0
13,0,0,0,0,0,0,0,0,742.692,0,0,0
14,0,0,0,0,0,0,0,0,742.4103,0,0,0
15,0,0,0,0,0,0,0,0,742.2094,0,0,0
16,0,0,0,0,0,0,0,0,742.1985,0,0,0
17,0,0,0,0,0,0,0,0,786.0153,199.867,0,0
18,0,0,0,0,0,0,0,0,742.627,199.8483,0,0
19,0,0,0,0,0,0,0,0,699.2846,200.0016,0,0
20,0,0,0,0,0,0,0,0,699.5827,200.0675,0,0
21,0,0,0,0,0,0,0,0,743.6616,200.1875,0,0
22,0,0,0,0,0,0,0,0,699.9745,200.2167,0,0
23,0,0,0,0,0,0,0,0,699.8386,200.3158,0,0
